,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,50,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1000,164.34394804260734,120.29779584640401,168.44114812703768,124.70661148159274
1,50,1,LADTransferTreeBoost,0.05,1,1,0.01,0.5,1000,173.03010073729283,125.77139885384429,176.48484301762807,129.0517916436202
2,50,1,MTransferTreeBoost,0.05,1,1,0.01,0.5,1000,170.23105935289243,122.29404298173321,173.0617372985645,125.15544644510204
3,50,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1000,160.80525265361476,116.67341777327034,164.918031174685,120.70258573777866
4,50,1,LADTransferTreeBoost,0.05,1,1,0.01,0.9,1000,181.0271754486285,126.13065004008115,188.47048526064148,133.10480726995777
5,50,1,MTransferTreeBoost,0.05,1,1,0.01,0.9,1000,168.47708328299527,120.67629193500092,169.16188023998325,122.98678026369961
6,50,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1000,165.42630951450687,123.11913510206375,168.3579673878672,127.21807864316239
7,50,1,LADTransferTreeBoost,0.05,1,1,0.05,0.5,1000,186.575198555919,133.86449170978435,192.78318992264246,139.80176471735538
8,50,1,MTransferTreeBoost,0.05,1,1,0.05,0.5,1000,179.76188228375923,131.5986597028331,183.49676442316127,136.41645085672474
9,50,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1000,164.1819206283389,121.7540289849169,167.39357637029937,125.81526038866289
10,50,1,LADTransferTreeBoost,0.05,1,1,0.05,0.9,1000,191.80839429495958,134.70254629092832,199.28702487310284,141.74026740864525
11,50,1,MTransferTreeBoost,0.05,1,1,0.05,0.9,1000,178.83961192946649,130.27948651798422,182.68638951853706,134.8262600308186
12,50,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1000,102.01132343207001,78.83637592480281,104.13599525982549,83.03100496564316
13,50,1,LADTransferTreeBoost,0.05,1,2,0.01,0.5,1000,116.54326705720077,86.48217635422746,121.53631441799408,90.73204108067992
14,50,1,MTransferTreeBoost,0.05,1,2,0.01,0.5,1000,154.2629144909892,121.86219482896198,162.3067151505086,128.06468177822862
15,50,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1000,102.74702464303905,78.31161386929962,105.19827013327743,82.12240893230148
16,50,1,LADTransferTreeBoost,0.05,1,2,0.01,0.9,1000,116.43200620403317,88.8180445229327,122.619715538712,93.84330683786412
17,50,1,MTransferTreeBoost,0.05,1,2,0.01,0.9,1000,136.95874795775958,107.93439330756075,144.50822446103928,114.7932854484856
18,50,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1000,102.5118030178212,79.5573336655762,104.72883487543595,83.7085480097408
19,50,1,LADTransferTreeBoost,0.05,1,2,0.05,0.5,1000,116.15397864710471,87.5347805895874,118.67493092336025,90.57812451207556
20,50,1,MTransferTreeBoost,0.05,1,2,0.05,0.5,1000,187.38224240608454,144.65090331386182,199.83554108218846,154.95360679663037
21,50,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1000,101.25871041355555,78.1659765319133,103.2641094621881,82.25077009501035
22,50,1,LADTransferTreeBoost,0.05,1,2,0.05,0.9,1000,137.96043732082768,103.4978682911782,144.46697347370434,108.04199502241961
23,50,1,MTransferTreeBoost,0.05,1,2,0.05,0.9,1000,157.63799757214326,119.56726357815371,167.73313627061268,127.76168457384983
24,50,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1000,106.05544625003684,75.54725631756594,109.34885084008867,78.27151246488621
25,50,1,LADTransferTreeBoost,0.05,2,1,0.01,0.5,1000,123.61037056015059,86.85913859975649,126.14705917954757,89.00528420408166
26,50,1,MTransferTreeBoost,0.05,2,1,0.01,0.5,1000,147.34663723283757,121.17153692905701,149.6866467944677,121.94621786441748
27,50,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1000,88.61213253394823,63.1613342390192,90.73688256650676,64.88735977946622
28,50,1,LADTransferTreeBoost,0.05,2,1,0.01,0.9,1000,106.1065912817222,78.17419651533652,109.14086291746025,79.23438811006045
29,50,1,MTransferTreeBoost,0.05,2,1,0.01,0.9,1000,116.23416943513205,97.9746335093939,114.6932127253031,96.6975342434189
30,50,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1000,179.67288006269155,128.1743260127645,188.60699613580118,133.90568597598312
